ID,CODE_GENDER,FLAG_OWN_CAR,FLAG_OWN_REALTY,CNT_CHILDREN,AMT_INCOME_TOTAL,NAME_EDUCATION_TYPE,NAME_FAMILY_STATUS,NAME_HOUSING_TYPE,DAYS_BIRTH,DAYS_EMPLOYED,FLAG_WORK_PHONE,FLAG_PHONE,FLAG_EMAIL,OCCUPATION_TYPE,CNT_FAM_MEMBERS
5460373,F,Y,Y,0,132087.58538345576,Secondary / secondary special,Divorced,House / apartment,-18615,-9490,0,1,0,Private service staff,2
5489379,M,N,N,0,225136.84827231284,Secondary / secondary special,Divorced,House / apartment,-21900,-5475,0,1,0,Low-skill Laborers,2
5063224,F,N,N,0,164957.48703874287,Secondary / secondary special,Married,House / apartment,-9490,-2555,0,1,0,Realty agents,1
5965339,F,N,N,0,137519.80600501486,Secondary / secondary special,Civil marriage,House / apartment,-18980,-6205,1,1,0,Core staff,2
5779635,F,Y,Y,0,140007.07218089906,Higher education,Divorced,House / apartment,-8395,-8760,0,0,0,Accountants,2
5695825,F,Y,Y,0,114079.25559360081,Secondary / secondary special,Widow,House / apartment,-18615,-4380,0,0,0,Sales staff,2
5561880,M,Y,N,0,81887.80187659174,Higher education,Married,House / apartment,-10585,-5840,0,0,0,Secretaries,2
5279994,F,N,N,0,63611.280965292426,Secondary / secondary special,Married,Co-op apartment,-16790,365243,0,0,0,Waiters/Barmen staff,2
5876144,F,N,N,0,156391.03236661354,Higher education,Married,House / apartment,-17520,-10220,0,0,1,Secretaries,2
5571749,F,N,N,0,214210.42607822546,Secondary / secondary special,Married,House / apartment,-21170,-8395,0,0,0,Private service staff,2
5435458,F,Y,Y,1,97126.0068029824,Secondary / secondary special,Civil marriage,House / apartment,-14600,-4745,0,0,0,High skill tech staff,3
5256147,M,N,Y,0,229084.2811732378,Secondary / secondary special,Married,Rented apartment,-8760,-6205,0,0,0,Sales staff,2
5527943,M,N,N,2,62998.24259105669,Incomplete higher,Civil marriage,House / apartment,-14600,-8760,1,0,0,Waiters/Barmen staff,3
5330301,F,Y,N,0,88201.0772479532,Secondary / secondary special,Single / not married,Co-op apartment,-16790,-365,0,1,0,Sales staff,2
5872559,M,Y,Y,0,162014.36314150094,Higher education,Divorced,House / apartment,-9125,-5475,0,0,1,Core staff,1
5069254,F,Y,Y,1,129390.93250652173,Incomplete higher,Single / not married,House / apartment,-16060,-1460,0,1,0,Sales staff,3
5678875,F,N,N,1,247162.90474804968,Secondary / secondary special,Single / not married,House / apartment,-17155,365243,0,1,0,Accountants,3
5275405,M,Y,Y,0,280711.23164239916,Secondary / secondary special,Civil marriage,House / apartment,-13140,-6205,0,1,0,Managers,1
5943251,M,Y,N,0,169422.05326597864,Secondary / secondary special,Widow,House / apartment,-15695,-5110,1,0,0,HR staff,2
5587305,M,Y,N,2,122713.38302688116,Secondary / secondary special,Civil marriage,House / apartment,-21535,365243,0,0,0,,4
5889145,F,Y,Y,0,155232.1418359415,Secondary / secondary special,Single / not married,Office apartment,-21900,-4015,1,1,0,Accountants,1
5379066,M,Y,Y,0,193300.46809130983,Secondary / secondary special,Married,House / apartment,-16790,0,1,1,0,High skill tech staff,2
5115771,M,N,N,0,86449.82965520846,Secondary / secondary special,Divorced,House / apartment,-13505,-9490,0,0,0,Cooking staff,2
5517431,M,Y,Y,1,154388.77109828338,Higher education,Married,House / apartment,-13505,-4015,0,0,0,,3
5265973,F,Y,Y,2,179253.9977424446,Secondary / secondary special,Single / not married,House / apartment,-17885,-2555,0,1,0,Sales staff,3
5675594,M,N,N,0,116461.99096795957,Secondary / secondary special,Married,House / apartment,-16425,-1095,1,0,0,Secretaries,2
5400807,M,Y,Y,1,249641.54432350307,Secondary / secondary special,Widow,House / apartment,-12775,365243,0,0,0,Cooking staff,2
5565510,F,N,Y,0,80047.8187787095,Higher education,Widow,House / apartment,-8030,-6935,0,1,0,Drivers,1
5100075,M,Y,Y,3,107126.1606945741,Secondary / secondary special,Civil marriage,House / apartment,-23360,-3650,0,1,0,IT staff,4
5701082,F,Y,N,0,107500.5332450849,Secondary / secondary special,Married,With parents,-8760,365243,0,1,0,IT staff,2
5103660,F,Y,Y,0,96237.39527406443,Secondary / secondary special,Married,House / apartment,-13870,-8395,0,0,0,Core staff,2
5172271,F,Y,N,0,149468.91498147877,Higher education,Divorced,House / apartment,-21170,-9490,0,0,0,Secretaries,1
5331227,F,N,N,0,285924.8972919371,Secondary / secondary special,Single / not married,House / apartment,-21900,-6935,0,0,0,Low-skill Laborers,1
5259149,F,N,Y,0,68629.66211703916,Secondary / secondary special,Civil marriage,Rented apartment,-9490,-8395,0,0,0,Core staff,2
5938626,F,Y,N,0,174532.0710041235,Secondary / secondary special,Divorced,Rented apartment,-14235,0,1,0,0,Laborers,2
5606357,F,Y,Y,0,82615.79969949747,Incomplete higher,Married,House / apartment,-13870,-3650,1,0,0,Waiters/Barmen staff,2
5990306,M,N,Y,1,197047.70806748062,Higher education,Divorced,House / apartment,-22265,-4015,0,0,0,Accountants,2
5829829,F,N,N,1,229970.40393705913,Secondary / secondary special,Civil marriage,House / apartment,-16790,365243,0,0,0,Sales staff,3
5875277,F,Y,Y,2,161994.1830571189,Secondary / secondary special,Civil marriage,House / apartment,-21900,365243,0,0,0,Accountants,4
5256729,M,N,Y,0,159310.00413639675,Higher education,Married,House / apartment,-12775,-9855,0,0,0,Realty agents,2
5246895,F,Y,Y,2,426159.96904372255,Secondary / secondary special,Married,With parents,-17885,-8760,0,1,0,Cleaning staff,4
5040810,F,Y,N,0,208811.23180051555,Secondary / secondary special,Civil marriage,House / apartment,-9855,-3650,0,0,0,HR staff,2
5314674,F,Y,N,0,185602.0487594736,Secondary / secondary special,Married,House / apartment,-22265,-5840,1,0,0,High skill tech staff,2
5020473,M,N,N,0,77747.44822197664,Incomplete higher,Widow,House / apartment,-14965,-7300,0,0,0,HR staff,2
5525060,M,Y,Y,2,220215.31440500356,Secondary / secondary special,Widow,House / apartment,-22630,-9855,1,0,0,Core staff,3
5582946,F,Y,Y,0,102513.48107765368,Higher education,Divorced,House / apartment,-13505,-1095,0,0,1,Secretaries,1
5881794,M,Y,Y,1,347672.6726048846,Incomplete higher,Divorced,House / apartment,-14965,-8760,0,0,0,,3
5974158,F,N,N,0,135138.91978876834,Secondary / secondary special,Civil marriage,House / apartment,-8395,365243,0,0,0,Medicine staff,1
5422758,F,N,N,0,88224.80745654494,Secondary / secondary special,Widow,House / apartment,-9125,-8395,0,0,0,Security staff,2
5673532,M,N,Y,0,73258.90147828047,Higher education,Married,House / apartment,-12410,365243,0,0,0,Cooking staff,2
5826660,F,Y,Y,1,148839.99896835824,Higher education,Divorced,House / apartment,-18250,-5475,0,0,0,Accountants,2
5733810,M,Y,Y,0,171694.65490432753,Secondary / secondary special,Civil marriage,House / apartment,-19710,-3650,0,0,0,Cooking staff,2
5837315,F,N,N,2,257141.75723253316,Higher education,Single / not married,House / apartment,-17155,-6205,1,0,0,Security staff,3
5570266,M,N,Y,0,135853.8678737369,Higher education,Civil marriage,House / apartment,-22265,-730,0,1,0,Core staff,2
5006298,M,Y,Y,2,129660.77376307234,Secondary / secondary special,Single / not married,Municipal apartment,-10220,-1460,0,1,0,Managers,4
5996135,M,N,N,0,181832.36690690092,Higher education,Divorced,House / apartment,-23360,-2555,0,0,0,Accountants,2
5711524,F,Y,Y,0,137168.12293536233,Secondary / secondary special,Divorced,House / apartment,-15330,-5475,1,1,1,Laborers,1
5959375,F,Y,Y,1,65021.78697838351,Higher education,Single / not married,House / apartment,-21535,-4745,0,0,0,Security staff,3
5055070,F,Y,N,0,118877.0718516585,Secondary / secondary special,Single / not married,House / apartment,-7665,-8030,0,0,0,Cooking staff,2
5021219,M,N,N,0,230367.49856179845,Higher education,Civil marriage,House / apartment,-20805,-6205,0,0,0,Cooking staff,2
5430193,F,Y,N,2,167263.66591781646,Higher education,Divorced,House / apartment,-7665,-4380,0,0,0,Realty agents,4
5992619,M,N,Y,0,129538.33195132905,Secondary / secondary special,Widow,House / apartment,-23360,-9125,0,0,0,Cooking staff,2
5123551,F,N,Y,0,158166.88803896483,Secondary / secondary special,Married,House / apartment,-18250,-4380,1,1,0,Cleaning staff,2
5432316,F,N,Y,0,152254.28881151936,Higher education,Divorced,House / apartment,-11315,-2555,1,0,0,Managers,2
5274636,M,Y,Y,0,181269.5042418441,Secondary / secondary special,Divorced,House / apartment,-18250,-6205,0,1,1,Cooking staff,1
5115138,F,N,Y,0,152480.0985790296,Higher education,Divorced,House / apartment,-22630,-4745,1,0,0,Waiters/Barmen staff,1
5431446,F,N,N,0,51873.38599814894,Secondary / secondary special,Civil marriage,House / apartment,-13870,-5840,1,1,0,Realty agents,1
5092660,M,N,N,1,177363.75634549645,Secondary / secondary special,Widow,House / apartment,-10950,365243,0,0,0,HR staff,3
5450102,F,Y,N,0,122189.4239662235,Higher education,Widow,House / apartment,-8395,-4015,1,1,0,Laborers,2
5348666,F,N,N,0,152145.99349819345,Higher education,Civil marriage,House / apartment,-20805,365243,1,0,1,Sales staff,1
5344474,F,N,N,1,136740.38470721315,Secondary / secondary special,Divorced,House / apartment,-12045,365243,0,0,0,Drivers,3
5483615,F,N,N,1,249614.30226141462,Higher education,Civil marriage,House / apartment,-18250,0,0,0,0,Drivers,3
5508945,M,Y,N,2,387866.41723347665,Incomplete higher,Married,House / apartment,-13870,-9490,1,1,0,Accountants,3
5481188,M,N,N,1,84839.35622815917,Higher education,Civil marriage,House / apartment,-18250,-8760,0,0,0,Sales staff,3
5441451,M,N,N,0,288267.18957849644,Incomplete higher,Married,House / apartment,-16425,-8030,1,1,0,IT staff,2
5531787,M,N,Y,0,203514.7194214737,Higher education,Single / not married,House / apartment,-13870,-2920,0,1,0,Low-skill Laborers,2
5556418,F,N,Y,0,74298.42999877981,Higher education,Divorced,House / apartment,-15330,0,1,0,1,High skill tech staff,1
5973423,M,Y,Y,0,242897.72529222228,Higher education,Single / not married,Rented apartment,-13870,-10585,0,0,0,IT staff,2
5386542,F,Y,Y,0,145172.11909195574,Secondary / secondary special,Civil marriage,House / apartment,-8395,0,0,1,0,Medicine staff,1
5025768,F,N,Y,1,120253.29519845043,Secondary / secondary special,Widow,House / apartment,-11680,365243,0,0,0,,2
5470128,F,N,Y,0,156257.6593613723,Higher education,Married,House / apartment,-11680,-7665,0,0,0,Sales staff,1
5931864,M,N,N,0,258374.82736735395,Higher education,Civil marriage,House / apartment,-12410,-10220,0,0,0,Private service staff,2
5488469,M,N,Y,0,45808.175751974384,Higher education,Divorced,House / apartment,-11315,-10220,0,1,0,Low-skill Laborers,1
5200614,M,Y,Y,1,294232.1266773125,Lower secondary,Single / not married,House / apartment,-21170,-7665,0,0,0,Managers,3
5694206,M,Y,N,0,102724.08204738743,Secondary / secondary special,Widow,House / apartment,-13870,-9490,0,0,0,Waiters/Barmen staff,1
5969439,M,Y,Y,0,95109.41683574062,Secondary / secondary special,Single / not married,House / apartment,-10220,-730,0,1,0,Accountants,1
5802841,M,Y,Y,0,289004.4639211153,Secondary / secondary special,Married,House / apartment,-17520,-8030,1,0,0,Private service staff,2
5098605,F,Y,N,0,128138.5832445879,Higher education,Married,House / apartment,-11315,-7300,0,0,0,,2
5303097,F,N,Y,2,451295.04032939655,Secondary / secondary special,Divorced,House / apartment,-16060,-4380,0,0,1,IT staff,4
5765403,F,N,Y,1,345274.4448336195,Higher education,Civil marriage,House / apartment,-15695,-730,0,0,0,Drivers,3
5727932,F,Y,Y,0,497360.3932652485,Higher education,Divorced,House / apartment,-22995,-5475,0,0,0,,2
5519048,F,Y,Y,0,330603.91629080556,Higher education,Single / not married,House / apartment,-10950,365243,0,0,0,Sales staff,1
5538356,M,Y,N,0,147888.91004291322,Secondary / secondary special,Widow,House / apartment,-10950,-365,1,0,0,Medicine staff,2
5442079,F,Y,N,0,147543.18306442266,Higher education,Divorced,Co-op apartment,-23360,-5840,0,1,0,Accountants,2
5421033,F,Y,Y,0,179255.97999742025,Secondary / secondary special,Single / not married,House / apartment,-8395,-365,1,0,0,Managers,2
5185498,F,N,N,1,374134.7405287124,Secondary / secondary special,Widow,House / apartment,-19345,-2190,0,0,0,IT staff,2
5062036,F,N,Y,0,128260.81408223575,Higher education,Divorced,House / apartment,-14965,-8395,1,1,0,Laborers,1
5026706,M,N,N,1,165207.46983135722,Secondary / secondary special,Widow,Rented apartment,-12045,-6935,0,0,0,IT staff,3
5178228,F,Y,N,1,161116.13594037353,Secondary / secondary special,Civil marriage,House / apartment,-13870,-5475,0,0,0,HR staff,3
5265704,M,N,Y,0,210816.56960205946,Secondary / secondary special,Civil marriage,House / apartment,-8760,-2190,0,0,0,,2
5198493,M,Y,Y,0,137435.5698324745,Incomplete higher,Divorced,House / apartment,-8395,-10220,0,0,0,Drivers,2
5373298,M,Y,Y,0,345180.94379400584,Higher education,Divorced,House / apartment,-16425,-9490,0,0,1,Cleaning staff,2
5836405,M,N,N,0,165206.25697258342,Secondary / secondary special,Civil marriage,House / apartment,-19345,-6935,0,0,0,Cooking staff,2
5160613,F,Y,N,0,59740.89793308158,Secondary / secondary special,Divorced,House / apartment,-12775,-4745,0,1,0,Drivers,2
5071972,M,N,N,0,359268.2181814437,Secondary / secondary special,Married,House / apartment,-22630,365243,0,0,0,Drivers,2
5803048,F,N,N,1,295303.53379337257,Higher education,Single / not married,House / apartment,-20075,-7300,1,1,0,HR staff,3
5045678,M,N,Y,1,133705.00429655213,Secondary / secondary special,Married,House / apartment,-22630,-5840,0,0,0,Medicine staff,3
5599914,M,N,Y,1,103756.37045982959,Secondary / secondary special,Civil marriage,House / apartment,-23360,-5840,0,0,0,Managers,3
5352277,F,Y,Y,0,54457.33781474876,Higher education,Divorced,Rented apartment,-11315,-8760,0,0,0,HR staff,2
5458903,F,N,N,0,652947.6845184176,Higher education,Single / not married,House / apartment,-16060,-5840,0,1,0,Cleaning staff,1
5777379,F,Y,N,0,110686.9956822245,Incomplete higher,Civil marriage,House / apartment,-18615,-4745,0,1,0,Cooking staff,2
5841962,F,N,Y,0,137452.89162546376,Secondary / secondary special,Single / not married,House / apartment,-10585,-9490,0,0,0,Security staff,2
5488708,M,Y,Y,0,63022.16276459075,Secondary / secondary special,Married,House / apartment,-14600,-4745,1,0,0,Security staff,2
5360635,F,N,N,0,153413.23599749734,Secondary / secondary special,Married,House / apartment,-12045,0,0,0,0,Waiters/Barmen staff,2
5384368,F,Y,Y,0,306485.95975561824,Secondary / secondary special,Single / not married,House / apartment,-8760,-8760,0,0,0,Managers,1
5194702,F,Y,N,0,608489.1051621666,Secondary / secondary special,Divorced,House / apartment,-19710,-5110,1,0,0,Cooking staff,2
5186262,M,Y,Y,3,193551.94609858093,Secondary / secondary special,Single / not married,House / apartment,-13505,-365,0,1,0,Cooking staff,5
