ID,MONTHS_BALANCE,STATUS
5518812,-4,C
5518812,-5,C
5518812,-6,1
5518812,-7,X
5518812,-8,X
5518812,-9,0
5518812,-10,C
5943378,0,C
5943378,-1,X
5943378,-2,1
5943378,-3,C
5943378,-4,0
5943378,-5,C
5943378,-6,0
5943378,-7,0
5943378,-8,C
5943378,-9,0
5943378,-10,0
5943378,-11,C
5943378,-12,C
5943378,-13,C
5943378,-14,0
5002085,0,C
5002085,-1,X
5002085,-2,3
5002085,-3,0
5002085,-4,X
5002085,-5,0
5002085,-6,X
5002085,-7,C
5002085,-8,C
5002085,-9,C
5002085,-10,C
5002085,-11,C
5002085,-12,0
5002085,-13,C
5002085,-14,C
5002085,-15,C
5002085,-16,0
5663615,0,0
5663615,-1,C
5663615,-2,4
5663615,-3,0
5677814,0,C
5677814,-1,C
5677814,-2,X
5677814,-3,C
5677814,-4,0
5677814,-5,0
5677814,-6,C
5677814,-7,0
5677814,-8,0
5677814,-9,0
5677814,-10,0
5677814,-11,0
5677814,-12,1
5957737,0,4
5957737,-1,C
5957737,-2,1
5957737,-3,0
5957737,-4,1
5957737,-5,C
5957737,-6,0
5957737,-7,X
5957737,-8,1
5957737,-9,C
5957737,-10,C
5957737,-11,0
5957737,-12,0
5957737,-13,C
5957737,-14,0
5957737,-15,0
5957737,-16,1
5957737,-17,0
5957737,-18,0
5957737,-19,X
5957737,-20,X
5957737,-21,0
5957737,-22,C
5543082,0,C
5543082,-1,0
5543082,-2,0
5543082,-3,X
5543082,-4,0
5543082,-5,1
5543082,-6,C
5543082,-7,C
5543082,-8,X
5543082,-9,C
5543082,-10,0
5543082,-11,X
5543082,-12,0
5543082,-13,0
5543082,-14,C
5543082,-15,0
5543082,-16,0
5543082,-17,C
5543082,-18,C
5543082,-19,C
5543082,-20,0
5543082,-21,0
5543082,-22,C
5529927,0,0
5529927,-1,C
5529927,-2,0
5529927,-3,C
5529927,-4,C
5529927,-5,C
5529927,-6,C
5529927,-7,0
5529927,-8,X
5529927,-9,0
5529927,-10,C
5529927,-11,C
5529927,-12,X
5529927,-13,C
5529927,-14,0
5529927,-15,0
5529927,-16,1
5529927,-17,C
5529927,-18,0
5529927,-19,X
5529927,-20,X
5529927,-21,C
5529927,-22,X
5066336,0,C
5066336,-1,C
5066336,-2,0
5066336,-3,X
5066336,-4,C
5272966,0,0
5876375,0,0
5876375,-1,0
5876375,-2,0
5876375,-3,0
5876375,-4,C
5876375,-5,0
5876375,-6,5
5876375,-7,C
5876375,-8,C
5876375,-9,0
5876375,-10,1
5876375,-11,C
5876375,-12,X
5876375,-13,4
5876375,-14,C
5876375,-15,0
5876375,-16,0
5876375,-17,0
5876375,-18,1
5443181,0,C
5443181,-1,4
5443181,-2,C
5443181,-3,C
5443181,-4,X
5443181,-5,1
5443181,-6,C
5443181,-7,0
5443181,-8,0
5443181,-9,C
5443181,-10,0
5443181,-11,0
5443181,-12,X
5443181,-13,C
5443181,-14,C
5443181,-15,X
5443181,-16,4
5443181,-17,1
5443181,-18,0
5443181,-19,X
5443181,-20,0
5443181,-21,C
5443181,-22,C
5038747,0,C
5038747,-1,C
5038747,-2,C
5038747,-3,4
5038747,-4,0
5038747,-5,C
5038747,-6,C
5038747,-7,0
5038747,-8,C
5038747,-9,C
5038747,-10,0
5038747,-11,C
5038747,-12,C
5244518,0,0
5244518,-1,0
5244518,-2,0
5244518,-3,C
5244518,-4,C
5244518,-5,0
5244518,-6,C
5244518,-7,C
5244518,-8,0
5244518,-9,0
5244518,-10,C
5244518,-11,C
5244518,-12,0
5244518,-13,C
5244518,-14,0
5244518,-15,C
5244518,-16,C
5244518,-17,2
5244518,-18,X
5244518,-19,C
5244518,-20,C
5244518,-21,0
5321941,0,C
5321941,-1,C
5321941,-2,0
5321941,-3,C
5321941,-4,X
5321941,-5,C
5321941,-6,0
5321941,-7,X
5321941,-8,0
5321941,-9,0
5321941,-10,0
5321941,-11,0
5321941,-12,0
5321941,-13,C
5212423,0,C
5212423,-1,C
5212423,-2,0
5212423,-3,C
5212423,-4,4
5684487,0,C
5684487,-1,C
5684487,-2,0
5684487,-3,C
5684487,-4,C
5684487,-5,C
5684487,-6,0
5684487,-7,C
5684487,-8,3
5684487,-9,1
5684487,-10,X
5684487,-11,0
5684487,-12,0
5684487,-13,5
5460021,0,C
5460021,-1,C
5460021,-2,0
5460021,-3,0
5460021,-4,C
5460021,-5,0
5460021,-6,0
5460021,-7,0
5460021,-8,C
5460021,-9,C
5460021,-10,C
5460021,-11,X
5460021,-12,0
5460021,-13,0
5460021,-14,0
5460021,-15,C
5460021,-16,0
5460021,-17,0
5460021,-18,C
5460021,-19,C
5460021,-20,0
5460021,-21,C
5460021,-22,C
5330797,0,C
5330797,-1,C
5330797,-2,0
5330797,-3,C
5330797,-4,1
5330797,-5,C
5330797,-6,C
5330797,-7,0
5330797,-8,0
5330797,-9,3
5330797,-10,C
5820287,0,0
5820287,-1,0
5820287,-2,1
5820287,-3,X
5820287,-4,0
5820287,-5,0
5820287,-6,1
5820287,-7,C
5820287,-8,2
5820287,-9,0
5820287,-10,0
5820287,-11,C
5820287,-12,C
5820287,-13,0
5820287,-14,0
5820287,-15,C
5820287,-16,0
5820287,-17,0
5934968,0,0
5878902,0,C
5878902,-1,0
5878902,-2,C
5878902,-3,C
5878902,-4,0
5878902,-5,C
5878902,-6,0
5878902,-7,C
5878902,-8,0
5878902,-9,0
5878902,-10,0
5878902,-11,0
5878902,-12,0
5878902,-13,0
5878902,-14,0
5507014,0,C
5507014,-1,X
5507014,-2,C
5507014,-3,0
5507014,-4,0
5507014,-5,X
5507014,-6,X
5507014,-7,0
5063468,0,0
5063468,-1,0
5063468,-2,C
5063468,-3,C
5063468,-4,0
5063468,-5,X
5063468,-6,1
5063468,-7,X
5063468,-8,C
5063468,-9,C
5063468,-10,0
5063468,-11,5
5063468,-12,C
5063468,-13,X
5568670,0,0
5568670,-1,1
5568670,-2,0
5568670,-3,C
5855771,0,0
5855771,-1,0
5606372,0,0
5606372,-1,0
5606372,-2,0
5606372,-3,C
5606372,-4,C
5606372,-5,C
5358900,0,C
5358900,-1,0
5358900,-2,0
5358900,-3,X
5358900,-4,C
5178392,0,C
5178392,-1,C
5178392,-2,0
5178392,-3,C
5178392,-4,0
5178392,-5,0
5178392,-6,C
5178392,-7,0
5178392,-8,0
5178392,-9,C
5921914,0,C
5921914,-1,C
5348365,0,C
5348365,-1,0
5348365,-2,0
5348365,-3,C
5348365,-4,0
5377482,0,C
5377482,-1,0
5377482,-2,0
5377482,-3,5
5044792,0,0
5044792,-1,0
5044792,-2,1
5044792,-3,X
5044792,-4,0
5044792,-5,C
5044792,-6,0
5044792,-7,0
5044792,-8,0
5044792,-9,1
5044792,-10,4
5044792,-11,C
5044792,-12,0
5044792,-13,3
5044792,-14,0
5044792,-15,0
5044792,-16,C
5044792,-17,0
5044792,-18,0
5690927,0,X
5690927,-1,X
5690927,-2,C
5690927,-3,C
5690927,-4,X
5690927,-5,1
5690927,-6,C
5690927,-7,0
5690927,-8,0
5690927,-9,C
5690927,-10,0
5690927,-11,X
5690927,-12,0
5690927,-13,0
5690927,-14,C
5690927,-15,C
5690927,-16,0
5050313,0,1
5050313,-1,X
5050313,-2,X
5050313,-3,0
5050313,-4,0
5050313,-5,C
5050313,-6,C
5050313,-7,0
5050313,-8,0
5050313,-9,0
5050313,-10,C
5050313,-11,C
5050313,-12,0
5050313,-13,0
5050313,-14,0
5050313,-15,0
5050313,-16,C
5050313,-17,X
5050313,-18,C
5050313,-19,0
5780881,0,0
5780881,-1,C
5780881,-2,X
5780881,-3,C
5780881,-4,4
5780881,-5,0
5780881,-6,C
5780881,-7,X
5780881,-8,0
5780881,-9,0
5780881,-10,X
5018958,0,0
5018958,-1,C
5018958,-2,0
5018958,-3,C
5018958,-4,X
5018958,-5,C
5018958,-6,C
5018958,-7,0
5018958,-8,C
5018958,-9,0
5018958,-10,C
5018958,-11,C
5018958,-12,0
5018958,-13,C
5804703,0,0
5804703,-1,0
5804703,-2,C
5804703,-3,0
5804703,-4,0
5008985,0,5
5008985,-1,C
5008985,-2,0
5008985,-3,X
5008985,-4,X
5008985,-5,0
5008985,-6,0
5008985,-7,X
5008985,-8,X
5008985,-9,0
5008985,-10,0
5008985,-11,C
5008985,-12,0
5008985,-13,0
5008985,-14,C
5099901,0,0
5099901,-1,1
5655318,0,0
5224928,0,C
5224928,-1,C
5224928,-2,0
5224928,-3,0
5224928,-4,0
5224928,-5,C
5224928,-6,C
5224928,-7,0
5224928,-8,0
5224928,-9,C
5224928,-10,0
5224928,-11,0
5224928,-12,0
5224928,-13,0
5224928,-14,C
5224928,-15,0
5224928,-16,0
5224928,-17,C
5224928,-18,C
5224928,-19,0
5224928,-20,1
5224928,-21,C
5926625,0,0
5926625,-1,C
5926625,-2,C
5926625,-3,0
5926625,-4,1
5926625,-5,0
5926625,-6,0
5926625,-7,X
5926625,-8,0
5926625,-9,0
5926625,-10,0
5926625,-11,0
5926625,-12,0
5926625,-13,C
5926625,-14,C
5926625,-15,C
5926625,-16,X
5926625,-17,0
5926625,-18,0
5926625,-19,X
5926625,-20,0
5926625,-21,C
5926625,-22,C
5067898,0,0
5067898,-1,C
5067898,-2,C
5067898,-3,C
5067898,-4,0
5067898,-5,C
5067898,-6,C
5067898,-7,1
5067898,-8,C
5067898,-9,C
5067898,-10,0
5067898,-11,0
5067898,-12,0
5067898,-13,X
5068878,0,C
5068878,-1,C
5068878,-2,C
5068878,-3,C
5904484,0,C
5904484,-1,C
5904484,-2,C
5904484,-3,C
5904484,-4,X
5904484,-5,C
5904484,-6,C
5904484,-7,0
5904484,-8,0
5904484,-9,C
5904484,-10,0
5904484,-11,C
5244299,0,C
5244299,-1,X
5244299,-2,C
5244299,-3,X
5244299,-4,1
5912237,0,C
5912237,-1,C
5912237,-2,C
5912237,-3,0
5912237,-4,1
5912237,-5,0
5912237,-6,0
5912237,-7,C
5912237,-8,C
5912237,-9,0
5912237,-10,X
5912237,-11,C
5912237,-12,C
5912237,-13,0
5912237,-14,0
5912237,-15,C
5912237,-16,0
5912237,-17,C
5912237,-18,5
5912237,-19,1
5912237,-20,0
5912237,-21,C
5912237,-22,C
5803684,0,1
5803684,-1,C
5803684,-2,C
5803684,-3,0
5803684,-4,0
5803684,-5,0
5803684,-6,0
5803684,-7,0
5803684,-8,0
5803684,-9,C
5803684,-10,0
5803684,-11,0
5803684,-12,0
5803684,-13,C
5803684,-14,0
5803684,-15,0
5803684,-16,C
5803684,-17,0
5803684,-18,C
5803684,-19,C
5803684,-20,C
5803684,-21,0
5803684,-22,C
5444936,0,3
5444936,-1,X
5444936,-2,C
5444936,-3,X
5444936,-4,C
5444936,-5,0
5444936,-6,X
5444936,-7,X
5444936,-8,X
5444936,-9,0
5444936,-10,0
5444936,-11,C
5444936,-12,C
5444936,-13,1
5444936,-14,C
5444936,-15,0
5444936,-16,C
5444936,-17,C
5444936,-18,0
5444936,-19,0
5444936,-20,C
5444936,-21,0
5444936,-22,C
5444936,-23,2
5895958,0,0
5895958,-1,1
5895958,-2,C
5895958,-3,X
5895958,-4,1
5895958,-5,C
5895958,-6,1
5895958,-7,5
5895958,-8,C
5895958,-9,0
5895958,-10,0
5895958,-11,C
5858828,0,0
5858828,-1,C
5575347,0,C
5575347,-1,C
5575347,-2,0
5575347,-3,C
5575347,-4,C
5575347,-5,0
5464016,0,0
5464016,-1,C
5464016,-2,0
5464016,-3,C
5464016,-4,C
5464016,-5,0
5464016,-6,0
5464016,-7,0
5464016,-8,0
5464016,-9,C
5464016,-10,0
5464016,-11,0
5464016,-12,0
5464016,-13,1
5196829,0,0
5196829,-1,0
5196829,-2,1
5196829,-3,C
5196829,-4,X
5196829,-5,X
5196829,-6,0
5196829,-7,0
5196829,-8,C
5196829,-9,C
5196829,-10,1
5196829,-11,0
5196829,-12,0
5196829,-13,0
5196829,-14,C
5309023,0,1
5309023,-1,0
5309023,-2,X
5309023,-3,X
5347381,0,0
5347381,-1,0
5310804,0,0
5310804,-1,0
5310804,-2,2
5310804,-3,0
5310804,-4,0
5310804,-5,C
5310804,-6,X
5310804,-7,X
5310804,-8,C
5310804,-9,0
5310804,-10,0
5310804,-11,0
5310804,-12,X
5310804,-13,C
5310804,-14,X
5310804,-15,X
5837523,0,C
5837523,-1,2
5837523,-2,X
5837523,-3,C
5837523,-4,0
5837523,-5,X
5837523,-6,C
5837523,-7,0
5837523,-8,C
5837523,-9,0
5837523,-10,C
5837523,-11,C
5837523,-12,X
5837523,-13,C
5837523,-14,0
5837523,-15,0
5837523,-16,C
5837523,-17,C
5837523,-18,0
5837523,-19,0
5837523,-20,C
5837523,-21,0
5268240,0,4
5268240,-1,0
5268240,-2,C
5268240,-3,0
5268240,-4,X
5268240,-5,X
5268240,-6,0
5268240,-7,0
5268240,-8,0
5268240,-9,0
5268240,-10,C
5268240,-11,C
5268240,-12,0
5366137,0,C
5366137,-1,C
5366137,-2,C
5366137,-3,0
5366137,-4,0
5366137,-5,0
5366137,-6,1
5366137,-7,C
5366137,-8,0
5366137,-9,C
5366137,-10,0
5366137,-11,X
5366137,-12,0
5366137,-13,C
5449596,0,C
5449596,-1,0
5449596,-2,C
5449596,-3,0
5449596,-4,3
5449596,-5,C
5449596,-6,C
5449596,-7,1
5449596,-8,0
5449596,-9,0
5449596,-10,0
5586917,0,C
5980753,0,0
5980753,-1,0
5980753,-2,0
5980753,-3,X
5980753,-4,C
5980753,-5,C
5980753,-6,C
5980753,-7,C
5980753,-8,0
5980753,-9,0
5980753,-10,X
5980753,-11,0
5980753,-12,0
5051662,0,0
5051662,-1,0
5051662,-2,0
5051662,-3,C
5051662,-4,0
5051662,-5,C
5051662,-6,C
5051662,-7,X
5051662,-8,0
5051662,-9,C
5892873,0,X
5892873,-1,0
5892873,-2,0
5892873,-3,C
5892873,-4,0
5892873,-5,0
5892873,-6,0
5892873,-7,C
5892873,-8,C
5892873,-9,C
5892873,-10,C
5892873,-11,0
5892873,-12,C
5576798,0,0
5576798,-1,0
5576798,-2,C
5576798,-3,0
5576798,-4,C
5480866,0,0
5480866,-1,C
5480866,-2,C
5480866,-3,0
5480866,-4,5
5480866,-5,1
5480866,-6,0
5480866,-7,0
5480866,-8,4
5480866,-9,0
5480866,-10,C
5480866,-11,C
5480866,-12,C
5480866,-13,0
5480866,-14,C
5480866,-15,0
5480866,-16,0
5480866,-17,0
5480866,-18,0
5480866,-19,0
5480866,-20,C
5550670,0,C
5550670,-1,0
5550670,-2,X
5550670,-3,X
5550670,-4,C
5550670,-5,C
5550670,-6,C
5550670,-7,1
5550670,-8,0
5550670,-9,C
5550670,-10,0
5550670,-11,0
5550670,-12,C
5584291,0,C
5362131,0,C
5362131,-1,C
5362131,-2,C
5033319,0,0
5033319,-1,0
5033319,-2,C
5033319,-3,C
5033319,-4,0
5033319,-5,C
5033319,-6,C
5033319,-7,C
5033319,-8,C
5033319,-9,0
5033319,-10,C
5033319,-11,0
5033319,-12,C
5033319,-13,0
5215537,0,0
5215537,-1,C
5215537,-2,C
5215537,-3,C
5215537,-4,C
5215537,-5,1
5215537,-6,X
5215537,-7,0
5215537,-8,C
5215537,-9,C
5215537,-10,0
5215537,-11,5
5215537,-12,0
5215537,-13,C
5215537,-14,C
5215537,-15,C
5215537,-16,C
5215537,-17,C
5215537,-18,0
5215537,-19,C
5215537,-20,0
5215537,-21,C
5126314,0,0
5126314,-1,0
5126314,-2,2
5126314,-3,0
5126314,-4,X
5126314,-5,X
5126314,-6,0
5126314,-7,C
5126314,-8,X
5126314,-9,C
5126314,-10,C
5126314,-11,C
5126314,-12,0
5126314,-13,C
5126314,-14,0
5126314,-15,C
5126314,-16,C
5126314,-17,X
5126314,-18,0
5460373,0,0
5460373,-1,0
5460373,-2,0
5460373,-3,C
5460373,-4,X
5489379,0,C
5489379,-1,C
5489379,-2,0
5489379,-3,X
5489379,-4,C
5063224,0,C
5063224,-1,C
5063224,-2,0
5063224,-3,C
5063224,-4,X
5063224,-5,C
5063224,-6,0
5063224,-7,X
5965339,0,5
5779635,0,0
5779635,-1,C
5779635,-2,C
5779635,-3,C
5779635,-4,0
5779635,-5,C
5695825,0,0
5695825,-1,5
5695825,-2,C
5695825,-3,0
5695825,-4,C
5695825,-5,C
5695825,-6,0
5695825,-7,0
5695825,-8,1
5695825,-9,0
5695825,-10,0
5695825,-11,0
5695825,-12,C
5695825,-13,1
5695825,-14,0
5561880,0,0
5561880,-1,0
5561880,-2,0
5561880,-3,5
5561880,-4,3
5561880,-5,X
5561880,-6,0
5561880,-7,C
5561880,-8,C
5279994,0,0
5279994,-1,C
5279994,-2,C
5279994,-3,0
5279994,-4,0
5279994,-5,C
5279994,-6,0
5279994,-7,0
5279994,-8,C
5279994,-9,0
5279994,-10,X
5279994,-11,0
5279994,-12,2
5279994,-13,X
5279994,-14,C
5279994,-15,C
5279994,-16,1
5279994,-17,C
5279994,-18,C
5279994,-19,C
5876144,0,C
5876144,-1,X
5876144,-2,X
5876144,-3,C
5876144,-4,C
5876144,-5,0
5876144,-6,0
5876144,-7,5
5876144,-8,C
5876144,-9,C
5571749,0,0
5571749,-1,C
5571749,-2,0
5435458,0,C
5435458,-1,0
5435458,-2,C
5435458,-3,C
5435458,-4,C
5435458,-5,C
5435458,-6,0
5435458,-7,0
5435458,-8,C
5435458,-9,0
5435458,-10,0
5435458,-11,0
5435458,-12,C
5435458,-13,C
5435458,-14,C
5435458,-15,X
5435458,-16,C
5435458,-17,C
5435458,-18,0
5435458,-19,C
5435458,-20,C
5435458,-21,0
5256147,0,0
5256147,-1,C
5256147,-2,0
5256147,-3,C
5256147,-4,C
5256147,-5,0
5256147,-6,C
5256147,-7,C
5256147,-8,C
5527943,0,C
5330301,0,0
5330301,-1,0
5330301,-2,C
5330301,-3,C
5330301,-4,0
5330301,-5,0
5330301,-6,0
5330301,-7,0
5872559,0,0
5872559,-1,C
5872559,-2,0
5872559,-3,0
5872559,-4,0
5872559,-5,0
5872559,-6,0
5872559,-7,2
5872559,-8,C
5872559,-9,0
5872559,-10,C
5872559,-11,X
5872559,-12,0
5872559,-13,0
5872559,-14,0
5872559,-15,0
5872559,-16,1
5872559,-17,X
5872559,-18,2
5872559,-19,C
5872559,-20,C
5872559,-21,C
5069254,0,0
5069254,-1,C
5069254,-2,0
5069254,-3,C
5069254,-4,C
5069254,-5,0
5069254,-6,C
5069254,-7,0
5069254,-8,C
5069254,-9,X
5069254,-10,C
5678875,0,C
5678875,-1,0
5678875,-2,C
5678875,-3,0
5678875,-4,0
5678875,-5,C
5678875,-6,1
5678875,-7,0
5678875,-8,0
5678875,-9,C
5678875,-10,C
5678875,-11,C
5678875,-12,C
5678875,-13,0
5275405,0,0
5275405,-1,C
5275405,-2,C
5275405,-3,0
5275405,-4,X
5275405,-5,X
5275405,-6,0
5275405,-7,0
5275405,-8,C
5275405,-9,C
5275405,-10,0
5275405,-11,C
5275405,-12,0
5275405,-13,X
5275405,-14,0
5275405,-15,C
5275405,-16,C
5943251,0,X
5943251,-1,0
5943251,-2,0
5587305,0,0
5889145,0,0
5889145,-1,0
5889145,-2,C
5889145,-3,C
5889145,-4,C
5889145,-5,C
5889145,-6,0
5889145,-7,C
5889145,-8,0
5889145,-9,C
5889145,-10,1
5889145,-11,0
5889145,-12,0
5889145,-13,0
5889145,-14,C
5889145,-15,0
5889145,-16,C
5889145,-17,C
5889145,-18,0
5889145,-19,0
5889145,-20,0
5889145,-21,0
5889145,-22,0
5889145,-23,X
5379066,0,0
5379066,-1,C
5379066,-2,0
5379066,-3,0
5379066,-4,0
5379066,-5,1
5379066,-6,X
5379066,-7,X
5379066,-8,X
5379066,-9,C
5379066,-10,C
5379066,-11,0
5379066,-12,C
5379066,-13,C
5379066,-14,0
5379066,-15,C
5115771,0,C
5115771,-1,X
5115771,-2,5
5115771,-3,C
5517431,0,C
5517431,-1,X
5265973,0,C
5265973,-1,0
5265973,-2,0
5265973,-3,C
5265973,-4,X
5265973,-5,C
5265973,-6,C
5265973,-7,0
5265973,-8,1
5265973,-9,0
5265973,-10,C
5265973,-11,X
5265973,-12,C
5265973,-13,0
5675594,0,0
5675594,-1,0
5675594,-2,0
5675594,-3,C
5675594,-4,C
5675594,-5,C
5675594,-6,0
5675594,-7,C
5675594,-8,C
5675594,-9,X
5675594,-10,5
5675594,-11,C
5675594,-12,X
5400807,0,C
5400807,-1,0
5400807,-2,0
5400807,-3,0
5400807,-4,0
5400807,-5,X
5400807,-6,C
5400807,-7,0
5400807,-8,0
5400807,-9,0
5400807,-10,C
5400807,-11,0
5400807,-12,X
5400807,-13,0
5400807,-14,C
5400807,-15,C
5400807,-16,0
5400807,-17,C
5565510,0,C
5565510,-1,X
5565510,-2,C
5565510,-3,5
5565510,-4,C
5565510,-5,C
5565510,-6,0
5565510,-7,C
5565510,-8,C
5565510,-9,C
5565510,-10,0
5565510,-11,C
5565510,-12,X
5565510,-13,X
5565510,-14,C
5565510,-15,0
5565510,-16,0
5565510,-17,C
5565510,-18,1
5100075,0,0
5100075,-1,0
5100075,-2,1
5100075,-3,0
5100075,-4,0
5100075,-5,0
5100075,-6,C
5100075,-7,0
5100075,-8,0
5100075,-9,X
5100075,-10,0
5100075,-11,0
5100075,-12,0
5100075,-13,X
5100075,-14,0
5100075,-15,0
5100075,-16,0
5100075,-17,0
5701082,0,C
5701082,-1,C
5701082,-2,0
5701082,-3,0
5701082,-4,0
5701082,-5,0
5701082,-6,X
5103660,0,0
5103660,-1,0
5103660,-2,0
5103660,-3,C
5103660,-4,0
5103660,-5,C
5103660,-6,0
5103660,-7,0
5103660,-8,X
5103660,-9,C
5103660,-10,X
5172271,0,0
5172271,-1,C
5331227,0,0
5331227,-1,0
5331227,-2,0
5331227,-3,1
5331227,-4,X
5331227,-5,C
5331227,-6,0
5331227,-7,C
5331227,-8,X
5331227,-9,C
5331227,-10,1
5331227,-11,0
